"id","raw_name","standard_name","category_group","is_verified","created_at"
226,"ganga chocolates","Ganga Chocolates","Ganga Chocolates",True,"2026-02-25 08:43:31.514819"
227,"bhang chocolates","Ganga Chocolates","Ganga Chocolates",True,"2026-02-25 08:43:31.514819"
228,"bung chocolates","Ganga Chocolates","Ganga Chocolates",True,"2026-02-25 08:43:31.514819"
229,"chocolate bars mixed with hash oil","Ganga Chocolates","Ganga Chocolates",True,"2026-02-25 08:43:31.514819"
230,"intoxicated chocolates","Ganga Chocolates","Ganga Chocolates",True,"2026-02-25 08:43:31.514819"
231,"mahakal munakka vati chocolates","Ganga Chocolates","Ganga Chocolates",True,"2026-02-25 08:43:31.514819"
232,"power munkka vati","Ganga Chocolates","Ganga Chocolates",True,"2026-02-25 08:43:31.514819"
233,"big chocolates","Ganga Chocolates","Ganga Chocolates",True,"2026-02-25 08:43:31.514819"
234,"small chocolates","Ganga Chocolates","Ganga Chocolates",True,"2026-02-25 08:43:31.514819"
235,"madhu munakka","Ganga Chocolates","Ganga Chocolates",True,"2026-02-25 08:43:31.514819"
